tweet_id,retweet_count,favorite_count,favorited,retweeted
671511350426865664,27602.0,0.0,False,False
671518598289059840,3003.0,14825.0,False,False
671520732782923777,4317.0,21413.0,False,False
671528761649688577,4282.0,19174.0,False,False
671533943490011136,8169.0,0.0,False,False
671536543010570240,3638.0,17877.0,False,False
671538301157904385,1708.0,0.0,False,False
671542985629241344,21057.0,0.0,False,False
671544874165002241,3030.0,16553.0,False,False
671547767500775424,1708.0,7774.0,False,False
671561002136281088,73.0,2115.0,False,False
671729906628341761,5796.0,26306.0,False,False
671735591348891648,3035.0,22539.0,False,False
671743150407421952,1652.0,10867.0,False,False
671744970634719232,5528.0,21461.0,False,False
671763349865160704,2552.0,13750.0,False,False
671768281401958400,10714.0,0.0,False,False
671789708968640512,1694.0,9682.0,False,False
671855973984772097,4784.0,20725.0,False,False
671866342182637568,3683.0,15930.0,False,False
671874878652489728,2151.0,10123.0,False,False
671879137494245376,2223.0,13158.0,False,False
671882082306625538,2421.0,13507.0,False,False
671891728106971137,3801.0,18172.0,False,False
671896809300709376,222.0,0.0,False,False
672068090318987265,3245.0,20947.0,False,False
672082170312290304,2065.0,14941.0,False,False
672095186491711488,4878.0,20338.0,False,False
672125275208069120,2218.0,13360.0,False,False
672139350159835138,39.0,0.0,False,False
672160042234327040,3654.0,16980.0,False,False
672169685991993344,2941.0,11976.0,False,False
672205392827572224,535.0,2955.0,False,False
672222792075620352,2814.0,15969.0,False,False
672231046314901505,2234.0,12053.0,False,False
672239279297454080,3215.0,17312.0,False,False
672245253877968896,2356.0,11436.0,False,False
672248013293752320,6253.0,0.0,False,False
672254177670729728,9410.0,0.0,False,False
672256522047614977,2.0,63.0,False,False
672264251789176834,9706.0,0.0,False,False
672267570918129665,4700.0,18014.0,False,False
672272411274932228,6192.0,24213.0,False,False
672466075045466113,34.0,339.0,False,False
672475084225949696,6563.0,27835.0,False,False
672481316919734272,1841.0,10537.0,False,False
672482722825261057,1945.0,7212.0,False,False
672488522314567680,2333.0,9060.0,False,False
672523490734551040,1564.0,9348.0,False,False
672538107540070400,1133.0,6599.0,False,False
672591271085670400,2484.0,11854.0,False,False
672591762242805761,2066.0,12018.0,False,False
672594978741354496,1512.0,8056.0,False,False
672604026190569472,16946.0,67477.0,False,False
672609152938721280,5742.0,0.0,False,False
672614745925664768,2981.0,9899.0,False,False
672622327801233409,5082.0,0.0,False,False
672640509974827008,1973.0,12343.0,False,False
672828477930868736,10714.0,32078.0,False,False
672834301050937345,2047.0,10558.0,False,False
672877615439593473,,,,
672884426393653248,7437.0,24649.0,False,False
